density_level,method,n_event_requested,truth_cells,high_risk_cells,obstacle_collisions,total_distance_m,flight_time_s,turning_number,energy_proxy,overall_coverage_rate,high_risk_coverage_rate,abnormality_detection_rate,missed_risk_rate,detected_truth_cells,detections_per_km,waypoints
Low,Fixed route,17,325,28,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.5714285714285714,0.36615384615384616,0.6338461538461538,119.0,17.797272933842393,30.0
Low,Standard CPP,17,325,28,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.75,0.7476923076923077,0.25230769230769234,243.0,19.08687857603953,50.0
Low,Proposed method,17,325,28,0,12742.606229885878,2123.7677049809795,46.0,12926.606229885878,0.6736,1.0,0.8953846153846153,0.10461538461538467,291.0,22.83677253696367,56.0
Medium,Fixed route,41,478,86,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.686046511627907,0.47489539748953974,0.5251046025104602,227.0,33.94941979816994,30.0
Medium,Standard CPP,41,478,86,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8837209302325582,0.7887029288702929,0.21129707112970708,377.0,29.612153181756803,50.0
Medium,Proposed method,41,478,86,0,12799.742039987414,2133.2903399979023,52.0,13007.742039987414,0.6796,1.0,0.8493723849372385,0.15062761506276146,406.0,31.719389244847562,68.0
High,Fixed route,68,801,166,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.572289156626506,0.50187265917603,0.49812734082397003,402.0,60.121879994996995,30.0
High,Standard CPP,68,801,166,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8614457831325302,0.784019975031211,0.215980024968789,628.0,49.32740636112274,50.0
High,Proposed method,68,801,166,0,12866.76405947799,2144.460676579665,59.0,13102.76405947799,0.6924,0.9759036144578314,0.8339575530586767,0.1660424469413233,668.0,51.91670546783159,79.0
Very high,Fixed route,102,948,235,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.548936170212766,0.4989451476793249,0.501054852320675,473.0,70.74042098913826,30.0
Very high,Standard CPP,102,948,235,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8382978723404255,0.7921940928270043,0.20780590717299574,751.0,58.98866588726621,50.0
Very high,Proposed method,102,948,235,0,12855.477375115299,2142.5795625192163,58.0,13087.477375115299,0.7,0.9872340425531915,0.8544303797468354,0.14556962025316456,810.0,63.00816191920957,85.0
